Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
the benefit of the doubt,Let 's regard her as innocent and assume that she is right .,Let 's give her the benefit of the doubt and assume that she is right .,regard | as innocent,give | the benefit of the doubt,"[(2, 3), (4, 6)]","[(2, 3), (4, 9)]",2
ballpark figure,The management was given a rough estimate at the very beginning of the presentation .,The management was given a ballpark figure at the very beginning of the presentation .,rough estimate,ballpark figure,"[(5, 7)]","[(5, 7)]",1
from the bottom of my heart,I am really happy with the new job and I mean that with sincere feeling .,I am really happy with the new job and I mean that from the bottom of my heart .,sincere feeling,from | bottom of my heart,"[(13, 15)]","[(12, 13), (14, 18)]",2
turning point,The significant change in the story came when the protagonist lost his sister in a car accident .,The turning point in the story came when the protagonist lost his sister in a car accident .,significant change,turning point,"[(1, 3)]","[(1, 3)]",1
go the extra mile,"When it comes to weaker students , the teacher makes an extra effort to help them understand .","When it comes to weaker students , the teacher goes the extra mile to help them understand .",makes an | effort,goes | mile,"[(9, 11), (12, 13)]","[(9, 10), (12, 13)]",2
pop the question,"I heard you had a special date with Tom yesterday ; so did he propose marriage , then ?","I heard you had a special date with Tom yesterday ; so did he pop the question , then ?",propose marriage,pop the question,"[(14, 16)]","[(14, 17)]",1
sense of humour,"I appreciate the fact that you are humorous , but we need to be serious now .","I appreciate the fact that you have a sense of humour , but we need to be serious now .",are humorous,have a sense of humour,"[(6, 8)]","[(6, 11)]",1
turn back on,"The client has been given a commitment , we can not choose not to do the project now even if it means working for extra hours .","The client has been given a commitment , we can not turn back on the project now even if it means working for extra hours .",choose | to do,turn back on,"[(11, 12), (13, 15)]","[(11, 14)]",2
a blessing in disguise,Losing that job turned out to be a good outcome from an evil situation for him as it forced him to plunge into business .,Losing that job turned out to be a blessing in disguise for him as it forced him to plunge into business .,good outcome from an evil situation,blessing in disguise,"[(8, 14)]","[(8, 11)]",1
put a sock in it,The teacher had asked the student to be quiet several times but he was still talking and She got angry and asked him to keep quiet .,The teacher had asked the student to be quiet several times but he was still talking and She got angry and asked him to put a sock in it .,keep,put a sock in it,"[(24, 25)]","[(24, 29)]",1
over my dead body,"You will go on a date with my sister , in now way !",You will go on a date with my sister over my dead body !,", in now way",over | dead body,"[(9, 13)]","[(9, 10), (11, 13)]",2
silver lining,"If it 's the tough time in your life , it comes with many hidden wins .","If it 's the tough time in your life , it comes with many silver linings .",hidden wins,silver linings,"[(14, 16)]","[(14, 16)]",1
slap on the wrist,I have to keep him away from the cake or there will be nothing left for the party .,I have to keep slapping his wrist away from the cake or there will be nothing left for the party .,him,slapping his wrist,"[(4, 5)]","[(4, 7)]",1
long run,"To make this project successful in the end , they will need more partners .","To make this project successful in the long run , they will need more partners .",end,long run,"[(7, 8)]","[(7, 9)]",1
let the cat out of the bag,The Mason 's let a secret out in the open at the end minute and until then nobody at the party knew about the performance by such a famous film star in a regular party .,The Mason 's let the cat out of the bag at the end minute and until then nobody at the party knew about the performance by such a famous film star in a regular party .,secret | open,cat | of | bag,"[(5, 6), (9, 10)]","[(5, 6), (7, 8), (9, 10)]",3
do or die,A life or death attempt to halt the invaders .,A do-or-die attempt to halt the invaders .,life or death,do-or-die,"[(1, 4)]","[(1, 2)]",1
call of the wild,"He has always been so nice , talk about raw emotions !","He has always been so nice , talk about the call of the wild !",raw emotions,the call of the wild,"[(9, 11)]","[(9, 14)]",1
all Greek to me,Do n't try to explain the technicalities of how this machine works ; it would be meaningless to me .,Do n't try to explain the technicalities of how this machine works ; it would be all Greek to me .,meaningless,all Greek,"[(16, 17)]","[(16, 18)]",1
dead as a dodo,"When my dad finds out that I have lost the mobile phone , I am going to be no longer alive !","When my dad finds out that I have lost the mobile phone , I am as dead as a dodo !",going to be no longer alive,as dead as a dodo,"[(15, 21)]","[(15, 20)]",1
a bed of roses,The life of the royal family is luxurious in United Kingdom of Great Britain .,The life of the royal family is a bed of roses in United Kingdom of Great Britain .,luxurious,a bed | roses,"[(7, 8)]","[(7, 9), (10, 11)]",2
a cut above,This diamond is noticeably greater than the rest and You will like it because you have an expensive taste .,This diamond is a cut above the rest and You will like it because you have an expensive taste .,noticeably greater than,a cut above,"[(3, 6)]","[(3, 6)]",1
batten down the hatches,The army is wise to be prepared for anything to happen near the border when our neighbouring country seems to be so hostile .,The army is wise to batten down the hatches near the border when our neighbouring country seems to be so hostile .,prepared for anything | happen,batten down | hatches,"[(6, 9), (10, 11)]","[(5, 7), (8, 9)]",2
sitting duck,The fact that she had no backup plan in case she got caught made her vulnerable .,The fact that she had no backup plan in case she got caught made her a sitting duck .,vulnerable,a sitting duck,"[(15, 16)]","[(15, 18)]",1
volte face,The current prime minister thinks it is a joke to change the plans that he announces publicly .,The current prime minister thinks it is a joke to volte face on the plans that he announces publicly .,change,volte face on,"[(10, 11)]","[(10, 13)]",1
fool's paradise,"It turns out my assignment is due on Monday not Tuesday , I have been living with false hope .","It turns out my assignment is due on Monday not Tuesday , I have been living in a fool ' a paradise .",with false hope,in a fool ' a paradise,"[(16, 19)]","[(16, 22)]",1
at the drop of a dime,"The play can begin very quickly , you just need to say the word .","The play can begin at the drop of a dime , you just need to say the word .",very quickly,at | drop of a dime,"[(4, 6)]","[(4, 5), (6, 10)]",2
rule of thumb,"As a principle , I do not start a new project on Fridays .","As a rule of thumb , I do not start a new project on Fridays .",principle,rule of thumb,"[(2, 3)]","[(2, 5)]",1
burn fingers,When the share market crashed it was unfortunate because of all the investments that he had made .,When the share market crashed his fingers were burnt from all the investments that he had made .,it was unfortunate because of,his fingers were burnt from,"[(5, 10)]","[(5, 10)]",1
bring up,Whenever we speak she mentions the fight we had years ago and this makes me think we still have some unresolved issues .,Whenever we speak she brings up the fight we had years ago and this makes me think we still have some unresolved issues .,mentions,brings up,"[(4, 5)]","[(4, 6)]",1
dry run,Today is only a practice run so we will not be using the actual costumes .,Today is only a dry run so we will not be using the actual costumes .,practice,dry,"[(4, 5)]","[(4, 5)]",1
money doesn't grow on trees,"The kids need to understand that even though they have been born with a silver spoon in their mouths , that money is earned not given .","The kids need to understand that even though they have been born with a silver spoon in their mouths , that money does n't grow on trees .",is earned not given,does n't grow on trees,"[(22, 26)]","[(22, 27)]",1
a lot on my plate,This week will be so hectic as I have a lot going on right now .,This week will be so hectic as I have a lot on my plate .,going | right now,my plate,"[(11, 12), (13, 15)]","[(12, 14)]",2
black and blue,The man beat his own mother until her skin was bruised ! How could someone do such a horrible act ? The mother is still praying for the best for him though .,The man beat his own mother black and blue ! How could someone do such a horrible act ? The mother is still praying for the best for him though .,until her skin was bruised,black and blue,"[(6, 11)]","[(6, 9)]",1
up a blind alley,The trip was doomed .,The trip was up a blind alley .,doomed,up a blind alley,"[(3, 4)]","[(3, 7)]",1
toot one's own horn,My father told me never to draw attention to myself .,My father told me never to toot my own horn .,draw attention | myself,toot my own horn,"[(6, 8), (9, 10)]","[(6, 10)]",2
pep talk,"Last night , I met Sara for a motivational talk because I had my interview the very next day .","Last night , I met Sara for a pep talk because I had my interview the very next day .",motivational,pep,"[(8, 9)]","[(8, 9)]",1
come to pass,This moment which has happened shall remain the most memorable for me in my life time .,This moment which has come to pass shall remain the most memorable for me in my life time .,happened,come to pass,"[(4, 5)]","[(4, 7)]",1
hit the sack,I am really tired after all that exercise and I am going to get some sleep .,I am really tired after all that exercise and I am going to hit the sack .,get some sleep,hit the sack,"[(13, 16)]","[(13, 16)]",1
music to ears,Our teacher told us that we will get a long summer break and this was just soothing to my ears .,Our teacher told us that we will get a long summer break and this was just music to my ears .,soothing,music,"[(16, 17)]","[(16, 17)]",1
long in the tooth,He is too old to be working with 18 year old paired opposite him in movies .,He is too long in the tooth to be working with 18 year old paired opposite him in movies .,,long | the tooth,[],"[(3, 4), (5, 7)]",2
off the record,"I will give you the information regarding what really happened , but these comments are strictly not meant to go public .","I will give you the information regarding what really happened , but strictly off the record .",these comments are | not meant to go public,off | record,"[(12, 15), (16, 21)]","[(13, 14), (15, 16)]",2
the lion's den,Two of the new students were thrown into danger as their ragging was taking place .,Two of the new students were thrown into the lion 's den as their ragging was taking place .,danger,lion 's den,"[(8, 9)]","[(9, 12)]",1
hit the books,"I have an exam tomorrow , I need to study tonight .","I have an exam tomorrow , I need to hit the books tonight .",study,hit the books,"[(9, 10)]","[(9, 12)]",1
go out on a limb,"During an analysis of the news , he decided to be risky and expressed an opinion that was opposite to that held by the general public .","During an analysis of the news , he went out on a limb and expressed an opinion that was opposite to that held by the general public .",decided | be risky,went out on a limb,"[(8, 9), (10, 12)]","[(8, 13)]",2
from A to Z,The operations guide covers all the rules comprehensively .,The operations guide covers all the rules from A to Z .,comprehensively,from A to Z,"[(7, 8)]","[(7, 11)]",1
building blocks,"The basic elements of success , in my view , come from perseverance and hard work .","The building blocks of success , in my view , come from perseverance and hard work .",basic elements,building blocks,"[(1, 3)]","[(1, 3)]",1
set in ways,People tend to have a fixed lifestyle as they grow older .,People tend to get set in their ways as they grow older .,have a fixed lifestyle,get set in their ways,"[(3, 7)]","[(3, 8)]",1
