normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .,The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .,season of the National Basketball Association | NBA,NBA season of | National Basketball Association,"[(4, 10), (16, 17)]","[(1, 4), (13, 16)]",2
The results are high when comparable flow rates can be maintained .,"When comparable rates of flow can be maintained , the results are high .",The results are high when | flow,"When | of flow | , the results are high","[(0, 5), (6, 7)]","[(0, 1), (3, 5), (8, 13)]",3
It is the seat of the district of Zerendi in Akmola region .,It is the seat of Zerendi District in Akmola Region .,the district of | region,District | Region,"[(5, 8), (11, 12)]","[(6, 7), (9, 10)]",2
"William Henry Harman was born in Waynesboro , Virginia on February 17 , 1828 . His parents were Lewis and Sally ( Garber ) Harman .","William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .",on February 17 | 1828 . His,Henry | on 17 February 1828 | where his,"[(9, 12), (13, 16)]","[(1, 2), (6, 10), (15, 17)]",3
"Given a discrete set of probabilities formula _ 1 with the condition formula _ 2 , and formula _ 3 any real number , the Tsallis entropy is defined as","With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as","Given | set | formula _ | _ | , | formula _ | entropy",With | amount | Formula | Formula | entropy as,"[(0, 1), (3, 4), (6, 8), (13, 14), (15, 16), (17, 19), (26, 27)]","[(0, 1), (3, 4), (6, 7), (14, 15), (25, 27)]",5
"He was a scholar in metaphysical literature , theology , and classical science .","He was a scholar in Metaphysical Literature , Theology and Classical sciences .","metaphysical literature | theology , | classical science",Metaphysical Literature | Theology | Classical sciences,"[(5, 7), (8, 10), (11, 13)]","[(5, 7), (8, 9), (10, 12)]",3
"The city lies at the confluence of the Snake River and the Great Weiser River , which marks the border with Oregon .","The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .",lies | and | Great,sits | with | great,"[(2, 3), (10, 11), (12, 13)]","[(2, 3), (10, 11), (12, 13)]",3
Werder 's troops invested Belfort and reached the city on November 3 .,Werder 's forces invested Belfort and reached the city on 3 November .,troops | November,forces | November,"[(2, 3), (10, 11)]","[(2, 3), (11, 12)]",2
The first five weapons were delivered in the first half of 1916 . A total of 57 barrels and 56 carriages were completed by the end of the war .,"The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .",. A | carriages were,", with a | cars","[(12, 14), (20, 22)]","[(12, 15), (21, 22)]",2
"The friendship between him and Duncan ended in 1951 at a club meeting , when the two did not agree at an annual meeting , and Duncan reported that Greaves said :",The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,"in 1951 | , | did not agree | ,",in 1951 | disagreed,"[(7, 9), (13, 14), (17, 20), (24, 25)]","[(11, 13), (16, 17)]",2
"Shaffer Creek is an tributary of Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania in the United States .","Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .",an | Brush Creek ( | in the,"a | the | ( Brush Creek | ,","[(3, 4), (6, 9), (19, 21)]","[(3, 4), (6, 7), (11, 14), (20, 21)]",4
"Briggs met Briggs later at the Monterey Pop Festival of 1967 , where Ravi Shankar also performed with Eric Burdon and The Animals .","Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .",Briggs met | of 1967 | performed,"met Briggs | 1967 | was | performing ,","[(0, 2), (9, 11), (16, 17)]","[(2, 4), (6, 7), (14, 15), (16, 18)]",4
"Cortez played the female lead in `` Ali Baba and the Sacred Crown '' , directed by Erminio Salvi .","The female lead role was played by Cortez in `` Ali Baba and the Sacred Crown '' , directed by Erminio Salvi .",Cortez played the,The | role was played by Cortez,"[(0, 3)]","[(0, 1), (3, 8)]",2
"She worked and lived in Germany ( Stuttgart , Berlin ) and in Vienna ( Austria ) .","She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .",Germany (,( Germany,"[(5, 7)]","[(8, 10)]",1
Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Protected areas of Ulyanovsk Oblast ),Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas ),Protected areas of,protected areas,"[(13, 16)]","[(15, 17)]",1
The Little Jocko River flows via the Saint Lawrence River and the Ottawa River to the Jocko River .,The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .,via,across,"[(5, 6)]","[(5, 6)]",1
He died in 1951 and retired in 1956 .,"In 1951 , he died and retired in 1956 .",He died in,"In | , he died","[(0, 3)]","[(0, 1), (2, 5)]",2
"WORHP , also referred to as eNLP ( European NLP solver ) by ESA , is a mathematical software library for solving continuous large scale nonlinear optimization problems numerically .","WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .",solver | by ESA | large scale | numerically,"Solver | numerically | , | on a large scale","[(10, 11), (12, 14), (23, 25), (28, 29)]","[(10, 11), (19, 20), (22, 23), (26, 30)]",4
The leaves are usually 1.5-4 mm long and 0.2-0.7 mm wide .,The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .,usually,generally,"[(3, 4)]","[(3, 4)]",1
"These geographically roughly correspond to the traditional districts of Glasgow District , South , Edinburgh District and North and Midlands .","These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .",roughly | districts of,", | districts","[(2, 3), (7, 9)]","[(13, 14), (18, 19)]",2
"Quintus Caecilius Metellus Macedonicus was the second son of the Roman politician , General Lucius Caecilius Metellus Diadematus .",Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .,"the | , General",and general,"[(9, 10), (12, 14)]","[(11, 13)]",1
We consider pseudo-differential operators here as a generalization of differential operators .,Here we view pseudo-differential operators as a generalization of differential operators .,We consider | here,Here we view,"[(0, 2), (4, 5)]","[(0, 3)]",1
"Debbie Downer is a name of a fictional `` Saturday Night Live '' character who debuted in 2004 , and who was portrayed by Rachel Dratch .",Debbie Downer is a name of a fictional `` Saturday Night Live '' character that was debuted in 2004 and portrayed by Rachel Dratch .,"who | , | who was",that was,"[(14, 15), (18, 19), (20, 22)]","[(14, 16)]",1
"Taieri is a former parliamentary electorate in the New Zealand region of Otago , from 1866 to 1911 .","Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .",New Zealand | Otago,Otago | New Zealand,"[(8, 10), (12, 13)]","[(8, 9), (11, 13)]",2
"Brockton is located approximately 25 miles northeast of Providence , Rhode Island and 30 miles south of Boston .","Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .",located,",","[(2, 3)]","[(11, 12)]",1
Seb Janiak is the French photographer and video director of Polish origin .,Seb Janiak is a French photographer and video director of Polish origin .,the,a,"[(3, 4)]","[(3, 4)]",1
"Born on November 1 , 1986 , Ashley is a contemporary dancer from Los Angeles who was originally raised in Arizona .",Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .,"Born on November 1 , 1986 , | was | raised",was born on 1 November 1986 and | grew up,"[(0, 7), (16, 17), (18, 19)]","[(1, 8), (17, 19)]",2
"Dorothy Kate Richmond , Frances Hodgkins and Gwen Knight was a Stewart contemporary .","Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .",Stewart,", | of Stewart","[(11, 12)]","[(6, 7), (13, 15)]",2
"Hastings Ndlovu , together with Hector Pieterson , was buried at the Avalon cemetery in Johannesburg .",Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .,", together | , was buried | the | cemetery",was buried | Cemetery,"[(2, 4), (7, 10), (11, 12), (13, 14)]","[(2, 4), (9, 10)]",2
"Other car manufacturers which have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .","Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .","which | Opel | Citroën | Škoda ,",that | Citroën | Opel | Skoda,"[(3, 4), (11, 12), (15, 16), (25, 27)]","[(3, 4), (11, 12), (15, 16), (25, 26)]",4
"It is covered with a natural vegetation of grassland of less fertile red clay soils , and saltbush shrubland on more fertile earths .","It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .",soils | saltbush shrubland,bases | Saltbush bushland,"[(14, 15), (17, 19)]","[(14, 15), (17, 19)]",2
"Jonté Buhl ( born April 4 , 1982 ) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League .","Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .",Canadian | cornerback | four seasons,Canadian | player | four years at,"[(11, 12), (15, 16), (18, 20)]","[(12, 13), (15, 16), (19, 22)]",3
"On February 27 , 2015 , `` The Timber '' was released in North America , Well Go USA Entertainment was released on October 6 , 2015 in Germany .","`` The Timber '' was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .","On February 27 , 2015 , | was | in Germany","on February 27 , 2015 | it in Germany","[(0, 6), (20, 21), (27, 29)]","[(9, 14), (20, 23)]",2
"Although five issues of the series were printed , the project was finished without any of them being cancelled .","Although five issues of the series were printed , the project was finished without any of them being aborted .",cancelled,aborted,"[(18, 19)]","[(18, 19)]",1
"Lars Ankerstjerne has written as songwriter for Nik 'Jay , Burhan G and Rasmus Seebach songs .","As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .",as songwriter | 'Jay | songs,"As a songwriter , | songs | & Jay","[(4, 6), (8, 9), (15, 16)]","[(0, 4), (8, 9), (11, 13)]",3
"On July 7 , 2011 , Russell was traded to the Columbus Blue Jackets for Kris Russell . He joined his brother Michael Blunden with the Blue Jackets organization .","On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .","July | , | to | for Kris Russell . He",July | for Kris Russell on | and,"[(1, 2), (3, 4), (9, 10), (14, 19)]","[(2, 3), (8, 12), (16, 17)]",3
( Don Wyatt had been in the Penguins in 1956 and both Eddie and Ray had been in the later Colts/Fortunes with Ray . ),"( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )",Penguins | Colts/Fortunes with Ray,"penguins | , | with Ray | Colts / Fortunes","[(7, 8), (20, 23)]","[(7, 8), (10, 11), (18, 20), (23, 26)]",4
