term,gloss,gen_z,normal,construction,slang_in_sentence,literal_replacement,slang_position_start,slang_position_end,slang_positions,literal_positions
big up yer chest,to acknowledge someone you know,"Big up yer chest for landing that job, bro!",Congratulations on landing that job!,big up yer chest,"Big up yer chest for | job, bro!",Congratulations on | job!,0,4,"[(0, 5), (7, 9)]","[(0, 2), (4, 5)]"
ballin' like a beast!!!,to ball so hard that all the foos who say they ballers get banged out one punch by your awesomeness,Steph was ballin' like a beast in the finals last night.,Steph was playing exceptionally well in the finals last night.,ballin' like a beast!!!,ballin' like a beast,playing exceptionally well,-1,-1,"[(2, 6)]","[(2, 5)]"
so sue me,Just what are going to do about it?,"I had ice cream for breakfast, so sue me.","I had ice cream for breakfast, what are you going to do about it?",so sue me,so sue me.,what are you going to do about it?,6,9,"[(6, 9)]","[(6, 14)]"
got em,"when some gets dissed, caught or doesnt have comeback, you say got em to show they cant do anything about it",You said you don't gossip but you just told everyone—got em!,You said you don't gossip but you just told everyone—caught you!,got em,everyone—got em!,everyone—caught you!,10,12,"[(9, 11)]","[(9, 11)]"
beasted on,to get owned horribly,"We got beasted on 6-0, couldn't even score once.","We got completely dominated 6-0, couldn't even score once.",beasted on,beasted on,completely dominated,2,4,"[(2, 4)]","[(2, 4)]"
awked out,To feel overwhelmingly uncomfortable because of an [awkward] ([awk]) moment or situation,I awked out so hard when I waved at someone who wasn't waving at me.,I felt extremely uncomfortable when I waved at someone who wasn't waving at me.,awked out,awked out so hard,felt extremely uncomfortable,1,3,"[(1, 5)]","[(1, 4)]"
walk with me in hell,to go through hardships with someone with out end in sight,"You've been walking with me in hell since freshman year, I owe you everything.","You've been supporting me through hard times since freshman year, I owe you everything.",walk with me in hell,walking with | in hell,supporting | through hard times,-1,-1,"[(2, 4), (5, 7)]","[(2, 3), (4, 7)]"
blow off,to ignore,She's been blowing off my calls for three days now.,She's been ignoring my calls for three days now.,blow off,blowing off,ignoring,-1,-1,"[(2, 4)]","[(2, 3)]"
blinged out,having way to mch bling bling and ending up looking like mr t,His graduation cap was all blinged out with rhinestones.,His graduation cap was excessively decorated with rhinestones.,blinged out,all blinged out,excessively decorated,5,7,"[(4, 7)]","[(4, 6)]"
in the cut,A term primarily used by Nebraskans for a hard to find/hidden place,We were chilling in the cut so the cops wouldn't see us.,We were hanging out in a hidden spot so the cops wouldn't see us.,in the cut,chilling | the cut,hanging out | a hidden spot,3,6,"[(2, 3), (4, 6)]","[(2, 4), (5, 8)]"
dumb out,To go crazy on something or someone,She dumbed out when she found out he cheated.,She went crazy when she found out he cheated.,dumb out,dumbed out,went crazy,-1,-1,"[(1, 3)]","[(1, 3)]"
get your shine on,to unexpectedly exceed the expectations of one's peers in a public setting,"You really got your shine on at the talent show, nobody saw that coming.","You really impressed everyone at the talent show, nobody saw that coming.",get your shine on,got your shine on,impressed everyone,-1,-1,"[(2, 6)]","[(2, 4)]"
chirp out,"to bounce, or leave a spot","This party's weak, let's chirp out.","This party's boring, let's leave.",chirp out,"weak, | chirp out.","boring, | leave.",4,6,"[(2, 3), (4, 6)]","[(2, 3), (4, 5)]"
do a buck,"a buck = 100, so to do a buck is to go 100 mph",We were doing a buck on the empty highway at 3am.,We were going 100 mph on the empty highway at 3am.,do a buck,doing a buck,going 100 mph,-1,-1,"[(2, 5)]","[(2, 5)]"
munched up,"to have the munchies, to get high and become hungry by the side effects","I'm hella munched up rn, let's get tacos.","I'm really hungry from the high right now, let's get tacos.",munched up,"hella munched up rn,","really hungry from the high right now,",2,4,"[(1, 5)]","[(1, 8)]"
bagging out,Make fun of,Everyone was bagging out his new haircut at lunch.,Everyone was making fun of his new haircut at lunch.,bagging out,bagging out,making fun of,2,4,"[(2, 4)]","[(2, 5)]"
bloopin out,"out of your mind on cocaine, or in extreme cases, having a stroke",That dude in the corner is straight bloopin out.,That guy in the corner is completely out of his mind on drugs.,bloopin out,dude | straight bloopin out.,guy | completely out of his mind on drugs.,7,9,"[(1, 2), (6, 9)]","[(1, 2), (6, 13)]"
bamp out,"to leave, ride out, go the fuck away from somewhere, take off","Yo security's coming, we gotta bamp out now.","Security's coming, we have to get out of here now.",bamp out,Yo security's | gotta bamp,Security's | have to get | of here,5,7,"[(0, 2), (4, 6), (7, 7)]","[(0, 1), (3, 6), (7, 9)]"
