normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
"I'm really tired today, I think I need some rest.","I'm totally drained today, need to catch some Z's.",really tired | I think I | rest.,totally drained | to catch | Z's.,"[(1, 3), (4, 7), (8, 8), (9, 10)]","[(1, 3), (4, 4), (5, 7), (8, 9)]",3
"I'm really tired today, I just want to relax at home.","I'm hella drained today, just wanna chill at home.",really tired | I | want to relax,hella drained | wanna chill,"[(1, 3), (4, 5), (6, 9)]","[(1, 3), (4, 4), (5, 7)]",3
I'm really excited for the concert tonight.,I'm so hype for the concert tonight.,really excited,so hype,"[(1, 3)]","[(1, 3)]",1
"I'm really tired today, I think I need some coffee.","I'm so drained today, I gotta get me some caffeine.",really tired | think I need | coffee.,so drained | gotta get me | caffeine.,"[(1, 3), (5, 8), (9, 10)]","[(1, 3), (5, 8), (9, 10)]",3
I'm really looking forward to the weekend.,"I'm so hyped for the weekend, can't wait to turn up!",really looking forward | the weekend.,"so hyped for the weekend, can't wait | turn up!","[(1, 4), (5, 7)]","[(1, 8), (9, 11)]",2
I'm really tired today and just want to relax at home.,I'm mad tired today and just wanna chill at home.,really | want to relax,mad | wanna chill,"[(1, 2), (6, 9)]","[(1, 2), (6, 8)]",2
I'm just hanging out with my friends tonight.,I'm just vibing with the squad tonight.,hanging out | my friends,vibing | the squad,"[(2, 4), (5, 7)]","[(2, 3), (4, 6)]",2
I'm going to grab some coffee before work.,"I'm tryna hit up some coffee before I clock in, fr.",going to grab | work.,"tryna hit up | I clock in, fr.","[(1, 4), (7, 8)]","[(1, 4), (7, 11)]",2
"Hey, did you see the new movie last night? It was really good.","Yo, peep the new flick last night? It was lit.","Hey, did you see | movie | really good.","Yo, peep | flick | lit.","[(0, 4), (6, 7), (11, 13)]","[(0, 2), (4, 5), (9, 10)]",3
I'm just chilling at home and watching some TV.,"Just vibing at home, Netflix and chillin'.",I'm just chilling | home | watching some TV.,"Just vibing | home, Netflix | chillin'.","[(0, 3), (4, 5), (6, 9)]","[(0, 2), (3, 5), (6, 7)]",3
I'm just going to grab some coffee and then head to class.,I'm just finna get some coffee and then slide to class.,going to grab | head,finna get | slide,"[(2, 5), (9, 10)]","[(2, 4), (8, 9)]",2
I'm feeling really tired today because I didn't sleep well.,I'm mad tired today 'cause I slept like zero.,feeling really | because | didn't sleep well.,mad | 'cause | slept like zero.,"[(1, 3), (5, 6), (7, 10)]","[(1, 2), (4, 5), (6, 9)]",3
I'm really tired today but I still have a lot of work to do.,I'm hella tired today but still gotta grind through my tasks.,really | I | have a lot of work to do.,hella | gotta grind through my tasks.,"[(1, 2), (5, 6), (7, 14)]","[(1, 2), (5, 5), (6, 11)]",3
I'm just really tired today and don't want to do anything complicated.,I'm deadass exhausted today and not tryna do anything sus.,just really tired | don't want to | complicated.,deadass exhausted | not tryna | sus.,"[(1, 4), (6, 9), (11, 12)]","[(1, 3), (5, 7), (9, 10)]",3
