normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"In Paris , in October 1560 , he secretly met the English ambassador , Nicolas Throckmorton , asking him for a passport to return to England through Scotland .","In Paris , in October 1560 , he secretly met the English ambassador , Nicolas Throckmorton , asking him for a passport to return to England through Scotland .",Nicolas,Nicolas,"[(14, 15)]","[(14, 15)]",0
The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .,The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .,the,the,"[(8, 9)]","[(8, 9)]",0
"There are also specific discussions , public profile debates and project discussions .","There are also specific discussions , public profile debates and project discussions .",public,public,"[(6, 7)]","[(6, 7)]",0
"When comparable rates of flow can be maintained , the results are high .","When comparable rates of flow can be maintained , the results are high .",maintained,maintained,"[(7, 8)]","[(7, 8)]",0
It is the seat of Zerendi District in Akmola Region .,It is the seat of Zerendi District in Akmola Region .,Zerendi,Zerendi,"[(5, 6)]","[(5, 6)]",0
"William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .","William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .",Virginia,Virginia,"[(13, 14)]","[(13, 14)]",0
"Bullion Express - concept is being introduced new store in Dallas , Texas in Preston Center opened .","Bullion Express - concept is being introduced new store in Dallas , Texas in Preston Center opened .",in,in,"[(9, 10)]","[(9, 10)]",0
"With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as","With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as",and,and,"[(13, 14)]","[(13, 14)]",0
"The Soviet Union maintained an embassy in Oslo and a consulate in Barentsburg , while Norway maintained a message in Moscow .","The Soviet Union maintained an embassy in Oslo and a consulate in Barentsburg , while Norway maintained a message in Moscow .",in,in,"[(11, 12)]","[(11, 12)]",0
Vocabulary even went to Brazil through leaving Portuguese settlers with some Macanese and Chinese settlers .,Vocabulary even went to Brazil through leaving Portuguese settlers with some Macanese and Chinese settlers .,settlers,settlers,"[(8, 9)]","[(8, 9)]",0
Kabir Suman recorded several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999 .,Kabir Suman recorded several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999 .,Suman,Suman,"[(9, 10)]","[(9, 10)]",0
"He was a scholar in Metaphysical Literature , Theology and Classical sciences .","He was a scholar in Metaphysical Literature , Theology and Classical sciences .",Literature,Literature,"[(6, 7)]","[(6, 7)]",0
"The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .","The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .",the,the,"[(11, 12)]","[(11, 12)]",0
"He has been trained by his grandfather , Nick Dakin , and is now trained by Geoff Barraclough .","He has been trained by his grandfather , Nick Dakin , and is now trained by Geoff Barraclough .",Dakin,Dakin,"[(9, 10)]","[(9, 10)]",0
"The Austrian school assumes that the subjective choices of individuals , including individual knowledge , time , expectations , and other subjective factors , cause all economic phenomena .","The Austrian school assumes that the subjective choices of individuals , including individual knowledge , time , expectations , and other subjective factors , cause all economic phenomena .",",",",","[(14, 15)]","[(14, 15)]",0
Werder 's forces invested Belfort and reached the city on 3 November .,Werder 's forces invested Belfort and reached the city on 3 November .,reached,reached,"[(6, 7)]","[(6, 7)]",0
The kBox facilitates both isometric and concentric contractions as well as eccentric training .,The kBox facilitates both isometric and concentric contractions as well as eccentric training .,contractions,contractions,"[(7, 8)]","[(7, 8)]",0
"The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .","The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .",total,total,"[(15, 16)]","[(15, 16)]",0
Elizabeth II was an ancestor of Queens Edzard II and Beatrix of the Netherlands .,Elizabeth II was an ancestor of Queens Edzard II and Beatrix of the Netherlands .,Edzard,Edzard,"[(7, 8)]","[(7, 8)]",0
The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,the,the,"[(14, 15)]","[(14, 15)]",0
Pluto was classified as the planet when the Grand Tour was proposed and was launched at the time `` New Horizons '' .,Pluto was classified as the planet when the Grand Tour was proposed and was launched at the time `` New Horizons '' .,proposed,proposed,"[(11, 12)]","[(11, 12)]",0
"For their performances in the game , quarterback Jameis Winston and defensive back P. J. Williams were named the game 's most valuable players .","For their performances in the game , quarterback Jameis Winston and defensive back P. J. Williams were named the game 's most valuable players .",back,back,"[(12, 13)]","[(12, 13)]",0
"Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .","Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .",Brush,Brush,"[(12, 13)]","[(12, 13)]",0
Kevin Spacey ( Henry Drummond ) and David Troughton ( Matthew Harrison Brady ) starred in a 2009 revival at The Old Vic in London .,Kevin Spacey ( Henry Drummond ) and David Troughton ( Matthew Harrison Brady ) starred in a 2009 revival at The Old Vic in London .,),),"[(13, 14)]","[(13, 14)]",0
"Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .","Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .",Ravi,Ravi,"[(12, 13)]","[(12, 13)]",0
"Laura Myntti was born in Salt Lake City and lived in Sioux City , Iowa and San Diego before settling in Minnesota in 1968 .","Laura Myntti was born in Salt Lake City and lived in Sioux City , Iowa and San Diego before settling in Minnesota in 1968 .",City,City,"[(12, 13)]","[(12, 13)]",0
"The female lead role was played by Cortez in `` Ali Baba and the Sacred Crown '' , directed by Erminio Salvi .","The female lead role was played by Cortez in `` Ali Baba and the Sacred Crown '' , directed by Erminio Salvi .",Baba,Baba,"[(11, 12)]","[(11, 12)]",0
"She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .","She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .",Germany,Germany,"[(9, 10)]","[(9, 10)]",0
Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas ),Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas ),a,a,"[(9, 10)]","[(9, 10)]",0
The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .,The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .,River,River,"[(9, 10)]","[(9, 10)]",0
"In 1951 , he died and retired in 1956 .","In 1951 , he died and retired in 1956 .",and,and,"[(5, 6)]","[(5, 6)]",0
"WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .","WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .",mathematical,mathematical,"[(15, 16)]","[(15, 16)]",0
"On January 17 , 2000 , there were reports of the RSS and some BJP - hardliners threatening to restart the party .","On January 17 , 2000 , there were reports of the RSS and some BJP - hardliners threatening to restart the party .",RSS,RSS,"[(11, 12)]","[(11, 12)]",0
