normal,metaphorical,literal_segments,metaphor_segments,literal_positions,metaphor_positions,num_differences
My soul was a complete mess and she was the cause of it.,My soul was a lampless sea and she was the tempest.,a complete mess | the cause of it,a lampless sea | the tempest,"[(4, 6), (10, 13)]","[(4, 6), (10, 11)]",2
The heavy rain made channels in the soil.,The heavy rain guttered the soil.,made channels in the soil,guttered the soil,"[(4, 8)]","[(4, 6)]",1
he was feeling very depressed.,he was feeling down hurt and sad.,very depressed,down hurt and sad,"[(4, 5)]","[(4, 7)]",1
The republicans are proposing the idea of a tax reform.,The republicans are floating the idea of a tax reform.,proposing the idea of a tax reform,floating the idea of a tax reform,"[(4, 10)]","[(4, 10)]",1
the news was revealed publicly despite his secrecy,The news leaked out despite his secrecy.,was revealed publicly despite his secrecy,leaked out despite his secrecy,"[(3, 8)]","[(3, 7)]",1
"‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said harshly .","‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .",harshly,tartly,"[(20, 20)]","[(20, 20)]",1
He crushed remorse and pushed down despair.,He crushed remorse and sunk down despair.,pushed down despair,sunk down despair,"[(5, 7)]","[(5, 7)]",1
"Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .","Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .",representations of rock'n'roll rebellion,emblems of rock'n'roll rebellion,"[(6, 9)]","[(6, 9)]",1
The critics praised the broadway production.,The critics paid tribute to this broadway production.,praised the broadway production,paid tribute to this broadway production,"[(3, 6)]","[(3, 8)]",1
I don't approve of joke dealing with  political issues; I have seen too many of them get elected.,I don't approve of political jokes; I have seen too many of them get elected.,joke dealing with political issues,political jokes,"[(5, 9)]","[(5, 6)]",1
The old house was gloomy and the guy who bought it made a lot of changes so now it is livable again.,He breathed new life into the dilapidated house.,the guy who bought it made a lot of changes so now it is livable again,He breathed new life into the dilapidated house,"[(7, 22)]","[(1, 8)]",1
The leaves blow in the wind.,The wind whips through the leaves.,blow in the wind,whips through the leaves,"[(3, 6)]","[(3, 6)]",1
The rule of ‘Grievous Bodily Harm’ is really too wide as it involves murder.,Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?,The rule of ‘Grievous Bodily | is really too wide as it involves murder,Does the ‘ grievous bodily | rule extend the definition of murder too far,"[(1, 5), (7, 14)]","[(1, 5), (7, 16)]",2
My lawyer is a ruthless human being.,My lawyer is a shark.,a ruthless human being,a shark,"[(4, 7)]","[(4, 5)]",1
Draupadi's eyes were beautiful and so bright.,Draupadi's eyes were diamonds.,beautiful and so bright,diamonds,"[(4, 7)]","[(4, 4)]",1
"Jealous of the applause they made for him ,","Jealous of the applause they  gave  him ,",made for him,gave him,"[(6, 8)]","[(6, 7)]",1
The economical crisis was the cause of the war.,The roots of the war were in the economical crisis.,the cause of the war,The roots of the war,"[(5, 9)]","[(1, 5)]",1
I tried toconvince them to be friends.,I tried to patch things over between them.,toconvince them to be friends,to patch things over between them,"[(3, 7)]","[(3, 8)]",1
They had to budget things out until the Duke arrived.,They had to ration things out until the Duke arrived.,budget things out until the Duke arrived,ration things out until the Duke arrived,"[(4, 10)]","[(4, 10)]",1
He  had a lot of stories to tell.,He had a full bag of memories to unload.,a lot of stories to tell,a full bag of memories to unload,"[(3, 8)]","[(3, 9)]",1
He was involved in a laughing fit.,He was caught in a laughing fit.,involved in a laughing fit,caught in a laughing fit,"[(3, 7)]","[(3, 7)]",1
"Joanna, you disagree? Okay, tell me why!","Joanna, you disagree? Okay, shoot!",tell me why,shoot,"[(5, 7)]","[(5, 5)]",1
The father reached out to his son and smacked him with his hand.,The father flicked him with his hand.,reached out to his son and smacked him with his hand,flicked him with his hand,"[(3, 13)]","[(3, 7)]",1
The difference between two theories completely vanish.,The distinction between the two theories disintegrates.,The difference between two theories completely vanish,The distinction between the two theories disintegrates,"[(1, 7)]","[(1, 7)]",1
The knocking on the door was really persuasive and persistent.,The roaring on the door was more assertive now.,The knocking on the door was | really persuasive and persistent,The roaring on the door was | more assertive now,"[(1, 6), (7, 10)]","[(1, 6), (7, 9)]",2
I was really agonizing over this decision for years.,I wrestled with this decision for years.,was really agonizing over this decision for years,wrestled with this decision for years,"[(2, 9)]","[(2, 7)]",1
I tried solving the problem as soon as i got out of bed.,I attacked the problem as soon as i got out of bed.,tried solving the problem as soon as i got out of bed,attacked the problem as soon as i got out of bed,"[(2, 13)]","[(2, 12)]",1
Thinking about how the problem originated is essential.,I think we should think about the roots of the problem.,originated is essential,I think we should think,"[(6, 8)]","[(1, 5)]",1
She wore a bright yellow dress on that day.,She was sporting yellow that day.,wore a bright yellow dress on that day,was sporting yellow that day,"[(2, 9)]","[(2, 6)]",1
The bus gradually came to a stop on the road.,The bus drizzled down the road.,gradually came to a stop on the road,drizzled down the road,"[(3, 10)]","[(3, 6)]",1
My head was in the middle of a triangle made by her neck and both her shoulders.,My head dwelled in the crook of her neck.,a triangle made by her neck,dwelled,"[(8, 13)]","[(3, 3)]",1
The press is sronger than weapons.,The pen is mightier than the sword.,The press is sronger than weapons,The pen is mightier than the sword,"[(1, 6)]","[(1, 7)]",1
