term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
qwertyuiopasdfghjklzxcvbnm,a phenomena that happens to a computer's keyboard when a human being is bored to death,I caught myself typing qwertyuiopasdfghjklzxcvbnm during the boring lecture.,I caught myself mindlessly typing across the keyboard during the boring lecture.,qwertyuiopasdfghjklzxcvbnm,mindlessly | across the keyboard,4,"[(3, 3), (4, 5)]","[(3, 4), (5, 8)]"
heteroflexible,i'm straight but shit happens,"""I identify as heteroflexible,"" she explained.","""I identify as mostly straight but open to exceptions,"" she explained.",heteroflexible,"mostly straight but open to exceptions,""",3,"[(3, 4)]","[(3, 9)]"
adverblasting,when a commercials audio is much louder than the program that you actually want to watch's audio,The adverblasting during the show nearly blew out my speakers.,The loud commercials during the show nearly blew out my speakers.,adverblasting,loud commercials,1,"[(1, 2)]","[(1, 3)]"
ctfd,calm the fuck down,"""Just CTFD for a minute!"" she snapped.","""Just calm the fuck down for a minute!"" she snapped.",ctfd,calm the fuck down,1,"[(1, 2)]","[(1, 5)]"
chiptease,when you buy a bag of chips thinking that it will be full of chips but when you open the bag it's barely full,This bag is such a chiptease—barely any chips inside!,This bag is such a letdown—barely any chips inside!,chiptease,letdown—barely,5,"[(5, 6)]","[(5, 6)]"
mantrum,when a grown man throws a tantrum when he can't have his way,He threw a mantrum when his team lost.,He threw an adult-male tantrum when his team lost.,mantrum,an adult-male tantrum,3,"[(2, 4)]","[(2, 5)]"
cellfish,an individual who talks on his or her cell phone even when doing so is rude or inconsiderate of other people,Don't be so cellfish at the dinner table.,Don't be so rude with your phone at the dinner table.,cellfish,rude with your phone,3,"[(3, 4)]","[(3, 7)]"
amazonukkah,when christmas really lasts 8 days because the presents take longer to deliver from amazon,Our amazonukkah lasted until January this year.,Our delayed gift arrivals from Amazon stretched until January this year.,amazonukkah,delayed gift arrivals from Amazon stretched,1,"[(1, 3)]","[(1, 7)]"
harfo,have a real fine one have a real fine one,"""HARFO!"" the friendly cashier called out.","""Have a real fine one!"" the friendly cashier called out.",harfo,"""Have a real fine one!""",1,"[(0, 1)]","[(0, 5)]"
emotionap,"being too emotional, that eventually as a result, you fall asleep",That movie ending triggered a two-hour emotionap.,That movie ending made me cry myself to sleep for two hours.,emotionap,made me cry myself to sleep for two hours.,6,"[(3, 7)]","[(3, 12)]"
dilhouette,the silhouette of a dick,Is that a dilhouette in that cloud?,Is that a penis-shaped shadow in that cloud?,dilhouette,penis-shaped shadow,3,"[(3, 4)]","[(3, 5)]"
